Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;;Total (tamaño del hogar);18.539.223
Total Nacional;;1 persona;5.001.166
Total Nacional;;2 personas;5.203.749
Total Nacional;;3 personas;3.837.982
Total Nacional;;4 personas;3.123.216
Total Nacional;;5 o más personas;1.373.110
Total Nacional;01001 Alegría-Dulantzi;Total (tamaño del hogar);1.121
Total Nacional;01001 Alegría-Dulantzi;1 persona;285
Total Nacional;01001 Alegría-Dulantzi;2 personas;299
Total Nacional;01001 Alegría-Dulantzi;3 personas;256
Total Nacional;01001 Alegría-Dulantzi;4 personas;219
Total Nacional;01001 Alegría-Dulantzi;5 o más personas;62
Total Nacional;01002 Amurrio;Total (tamaño del hogar);4.158
Total Nacional;01002 Amurrio;1 persona;1.105
Total Nacional;01002 Amurrio;2 personas;1.285
Total Nacional;01002 Amurrio;3 personas;831
Total Nacional;01002 Amurrio;4 personas;711
Total Nacional;01002 Amurrio;5 o más personas;226
Total Nacional;01003 Aramaio;Total (tamaño del hogar);542
Total Nacional;01003 Aramaio;1 persona;145
Total Nacional;01003 Aramaio;2 personas;119
Total Nacional;01003 Aramaio;3 personas;114
Total Nacional;01003 Aramaio;4 personas;118
Total Nacional;01003 Aramaio;5 o más personas;46
Total Nacional;01004 Artziniega;Total (tamaño del hogar);714
Total Nacional;01004 Artziniega;1 persona;199
Total Nacional;01004 Artziniega;2 personas;207
Total Nacional;01004 Artziniega;3 personas;126
Total Nacional;01004 Artziniega;4 personas;144
Total Nacional;01004 Artziniega;5 o más personas;38
Total Nacional;01006 Armiñón;Total (tamaño del hogar);95
Total Nacional;01006 Armiñón;1 persona;30
Total Nacional;01006 Armiñón;2 personas;26
Total Nacional;01006 Armiñón;3 personas;19
Total Nacional;01006 Armiñón;4 personas;15
Total Nacional;01006 Armiñón;5 o más personas;5
Total Nacional;01008 Arratzua-Ubarrundia;Total (tamaño del hogar);385
Total Nacional;01008 Arratzua-Ubarrundia;1 persona;91
Total Nacional;01008 Arratzua-Ubarrundia;2 personas;115
Total Nacional;01008 Arratzua-Ubarrundia;3 personas;78
Total Nacional;01008 Arratzua-Ubarrundia;4 personas;76
Total Nacional;01008 Arratzua-Ubarrundia;5 o más personas;25
Total Nacional;01009 Asparrena;Total (tamaño del hogar);742
Total Nacional;01009 Asparrena;1 persona;289
Total Nacional;01009 Asparrena;2 personas;191
Total Nacional;01009 Asparrena;3 personas;131
Total Nacional;01009 Asparrena;4 personas;103
Total Nacional;01009 Asparrena;5 o más personas;28
Total Nacional;01010 Ayala/Aiara;Total (tamaño del hogar);1.087
Total Nacional;01010 Ayala/Aiara;1 persona;277
Total Nacional;01010 Ayala/Aiara;2 personas;257
Total Nacional;01010 Ayala/Aiara;3 personas;231
Total Nacional;01010 Ayala/Aiara;4 personas;249
Total Nacional;01010 Ayala/Aiara;5 o más personas;73
Total Nacional;01011 Baños de Ebro/Mañueta;Total (tamaño del hogar);116
Total Nacional;01011 Baños de Ebro/Mañueta;1 persona;35
Total Nacional;01011 Baños de Ebro/Mañueta;2 personas;31
Total Nacional;01011 Baños de Ebro/Mañueta;3 personas;26
Total Nacional;01011 Baños de Ebro/Mañueta;4 personas;13
Total Nacional;01011 Baños de Ebro/Mañueta;5 o más personas;11
Total Nacional;01013 Barrundia;Total (tamaño del hogar);356
Total Nacional;01013 Barrundia;1 persona;115
Total Nacional;01013 Barrundia;2 personas;89
Total Nacional;01013 Barrundia;3 personas;57
Total Nacional;01013 Barrundia;4 personas;69
Total Nacional;01013 Barrundia;5 o más personas;26
Total Nacional;01014 Berantevilla;Total (tamaño del hogar);186
Total Nacional;01014 Berantevilla;1 persona;57
Total Nacional;01014 Berantevilla;2 personas;53
Total Nacional;01014 Berantevilla;3 personas;34
Total Nacional;01014 Berantevilla;4 personas;26
Total Nacional;01014 Berantevilla;5 o más personas;16
Total Nacional;01016 Bernedo;Total (tamaño del hogar);266
Total Nacional;01016 Bernedo;1 persona;124
Total Nacional;01016 Bernedo;2 personas;70
Total Nacional;01016 Bernedo;3 personas;36
Total Nacional;01016 Bernedo;4 personas;29
Total Nacional;01016 Bernedo;5 o más personas;7
Total Nacional;01017 Campezo/Kanpezu;Total (tamaño del hogar);518
Total Nacional;01017 Campezo/Kanpezu;1 persona;228
